gender,age,birthplace,M17,M18,M19,M21,M22,M23,M24,M26,M27,M28,M29,M30,M32,M33,M34,M35,M36,M38,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M51,M53,M55,M56,M57,Probability
0,1,0,5.5,7.0,6.0,8.0,6.5,5.0,5.0,5.5,8.0,8.5,7.5,5.0,6.0,8.0,8.0,8.0,5.0,5.5,6.5,6.0,6.5,6.5,7.5,5.5,9.0,7.0,7.0,8.0,6.0,8.0,6.0,7.5,6.5,1
0,1,0,6.5,6.5,5.5,7.5,7.0,6.5,7.0,6.5,6.5,6.5,6.5,5.5,6.0,7.0,7.5,5.5,6.0,8.0,6.0,7.5,7.5,7.5,7.0,8.0,8.0,7.14,6.5,9.0,6.5,8.0,7.5,8.5,7.0,1
0,1,0,6.0,9.0,6.0,7.5,6.0,7.0,5.0,8.0,8.0,6.5,8.5,8.5,6.5,7.5,9.0,8.0,6.5,9.5,8.5,8.0,6.0,8.5,8.0,7.0,8.0,7.0,7.5,5.5,6.0,7.5,8.0,5.5,8.5,1
0,1,0,8.5,9.0,6.0,6.5,5.0,7.0,6.0,7.5,10.0,5.5,7.0,5.5,6.0,8.0,9.0,6.0,7.5,7.5,6.5,5.0,6.5,6.0,8.0,6.0,8.0,7.5,8.0,7.5,6.5,5.5,7.5,7.0,9.0,1
0,1,0,7.0,8.5,6.0,8.5,8.0,7.0,8.0,8.0,7.0,6.5,7.5,7.0,7.0,7.5,8.5,8.0,8.0,7.0,8.5,6.0,8.0,7.5,8.0,7.0,8.5,8.0,8.0,9.0,8.0,8.5,8.0,8.5,7.0,1
0,1,0,5.5,7.14,7.5,8.5,9.5,7.5,7.14,7.5,8.0,7.5,7.0,6.5,10.0,8.0,6.0,6.0,9.0,6.0,7.14,7.0,7.14,6.5,8.5,6.5,7.0,8.0,7.14,8.0,7.5,9.5,7.0,9.5,5.5,1
0,1,0,7.5,9.5,6.5,7.5,7.0,9.0,7.0,9.0,7.0,7.5,8.0,8.0,7.0,7.5,6.5,7.5,8.0,10.0,8.0,8.0,8.0,6.5,7.0,7.5,7.5,7.5,8.0,9.0,9.0,7.5,8.5,8.5,9.0,1
0,1,0,7.5,8.5,6.5,8.5,6.5,7.0,7.0,8.0,8.0,6.0,6.5,7.0,5.5,7.0,7.0,7.5,5.5,8.5,7.0,5.0,7.5,7.0,6.5,8.5,6.0,5.5,6.5,7.0,7.0,6.5,7.5,7.0,8.0,1
0,1,0,6.5,8.5,6.5,8.0,8.5,8.0,7.5,8.5,8.5,6.5,8.5,5.0,7.5,7.5,8.5,9.0,8.0,9.0,8.0,8.5,7.0,8.5,8.0,9.0,8.5,8.6,8.5,9.0,8.5,8.5,8.5,9.5,8.5,1
0,1,0,5.0,8.5,5.5,7.5,7.5,6.5,5.5,6.0,6.5,6.5,8.0,6.0,7.5,6.5,7.0,8.5,5.5,7.5,6.0,7.5,7.5,8.5,8.0,7.5,7.5,7.3,8.0,8.5,7.0,8.0,7.5,8.5,8.0,1
0,1,0,8.5,8.5,5.0,6.5,5.0,7.5,6.5,7.5,9.5,5.5,7.5,8.0,6.5,7.5,9.5,7.0,7.5,9.0,6.5,5.5,7.0,6.5,7.0,6.0,8.0,8.0,8.0,8.0,7.5,6.5,7.5,6.0,6.5,1
0,1,0,6.5,8.0,7.0,6.0,5.0,6.0,5.5,6.5,8.0,5.5,6.5,6.0,5.5,7.0,8.0,6.0,7.0,6.5,5.0,5.0,6.0,5.5,6.0,5.5,7.5,5.5,7.5,7.0,6.0,6.0,7.0,5.5,8.0,1
0,1,0,6.5,7.5,5.0,8.0,6.0,6.0,7.5,6.5,6.5,5.5,7.0,5.5,6.5,7.0,7.0,7.0,6.0,8.0,6.0,6.0,6.0,6.5,6.5,8.0,7.0,6.31,8.0,5.5,7.5,7.5,3.0,6.5,9.5,1
0,1,0,7.0,8.0,5.0,8.0,6.0,7.0,8.0,6.5,7.0,6.0,6.5,5.5,5.5,8.0,6.0,8.0,6.0,7.5,6.0,7.0,7.0,7.5,7.0,7.5,6.0,7.09,7.0,7.5,8.5,8.0,7.0,8.5,8.0,1
0,1,0,6.5,8.5,7.0,9.0,7.0,8.0,7.5,8.5,8.0,7.5,9.0,8.0,7.0,7.5,8.5,7.0,7.0,6.0,7.5,6.0,8.0,8.0,8.5,6.0,7.5,8.0,7.5,8.5,7.5,8.5,8.0,8.0,7.5,1
0,1,0,6.0,7.43,7.5,7.0,9.0,10.0,7.43,7.5,7.5,8.5,5.5,9.0,8.5,7.0,7.5,5.5,8.0,6.5,7.43,9.5,7.43,7.5,7.0,7.5,7.0,8.0,7.43,8.0,8.5,8.5,8.0,10.0,6.0,1
0,1,0,6.0,6.76,7.0,8.5,8.5,6.0,6.76,8.5,6.0,7.5,7.0,6.5,7.5,6.0,5.0,5.0,7.0,5.0,6.76,7.5,6.76,8.5,7.0,5.0,6.0,7.0,6.76,8.0,9.0,7.5,6.5,8.5,6.0,1
0,1,0,6.5,7.5,5.0,8.5,7.5,6.0,6.5,6.0,7.5,6.5,8.5,6.0,6.0,7.5,8.5,8.0,6.5,8.0,6.0,7.5,8.0,7.5,7.5,8.0,8.5,7.47,8.0,9.0,7.0,8.0,7.0,8.0,9.0,1
0,1,0,7.5,8.0,6.5,9.0,6.5,8.0,7.0,8.5,7.5,8.5,8.5,8.0,7.0,7.5,7.5,8.5,7.0,7.0,7.5,8.0,8.5,8.0,8.5,7.0,8.5,8.5,8.0,9.0,6.5,7.5,8.0,8.0,8.0,1
