Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Tuition fees up to date,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Gender,Debtor,Probability
3,1,2,14,0,6,1,25,3,8,4,1,0,0,1,38,0,8,16,25,5,14.901428571428571,4,0,2,11,2,12.2,3,9.4,-0.3,-1.7,0,0,0
2,12,1,13,1,7,1,13,3,31,8,1,0,1,1,28,1,6,8,12,17,11.705714285714285,0,4,8,9,4,12.042857142857144,2,10.8,2.8,-4.06,0,0,0
3,8,4,11,0,13,12,26,27,11,34,1,0,1,1,22,0,14,3,16,1,14.06,0,4,18,12,1,12.5,0,12.7,-0.8,1.74,0,0,0
5,4,1,6,1,2,3,29,7,32,19,0,1,0,1,27,0,15,7,0,6,10.8,5,4,14,18,12,14.428571428571429,0,12.7,3.7,-1.7,0,0,0
2,3,4,17,0,8,9,28,27,18,10,1,1,1,0,36,0,1,8,14,4,13.68142857142857,0,12,7,3,5,14.25,2,12.7,-0.8,2.02,0,0,0
4,8,3,6,1,6,21,2,10,5,13,0,1,1,0,44,0,6,15,13,8,13.444444444444445,5,4,13,7,0,11.8375,1,10.8,0.5,1.79,0,0,0
5,13,5,5,0,8,12,22,3,15,37,0,0,0,0,23,0,13,14,12,2,12.514285714285716,4,5,3,0,9,12.3,5,8.9,2.6,1.74,0,0,0
2,6,5,8,0,1,9,3,27,29,34,0,0,0,1,50,0,9,8,5,8,11.4375,0,2,7,6,16,12.285714285714286,7,12.7,3.7,0.32,0,0,0
6,14,1,14,1,10,8,12,20,4,6,0,0,1,1,42,1,3,5,8,2,13.266666666666666,0,3,9,1,7,12.15,0,10.8,-0.8,-3.12,0,0,0
6,15,1,7,0,6,12,3,25,18,12,0,0,1,1,42,0,7,2,0,0,12.183333333333332,0,12,8,16,5,15.166666666666666,1,9.4,0.6,-0.92,0,0,0
2,16,5,12,1,17,12,1,30,4,24,1,0,1,0,34,0,13,5,16,3,15.428571428571429,0,6,4,20,7,12.892857142857142,0,11.1,0.5,0.32,0,0,0
2,8,1,12,0,16,9,26,20,4,13,1,0,1,0,29,0,6,15,10,8,13.6875,4,16,4,27,0,12.62142857142857,6,16.2,1.4,0.79,0,0,0
6,1,1,11,1,6,19,22,10,28,3,1,1,1,1,37,1,2,0,2,2,14.625,3,0,7,4,11,12.6375,1,10.8,2.6,1.79,0,0,0
5,5,2,2,0,15,19,10,28,2,13,0,0,1,0,36,0,2,10,14,17,12.86,6,11,14,15,8,10.166666666666666,7,11.1,0.5,-3.12,0,0,0
4,14,6,6,1,8,9,25,24,12,7,0,0,0,1,29,0,7,8,9,4,10.375,3,5,6,17,4,14.142857142857142,5,15.5,1.4,-1.7,0,0,0
5,10,6,11,0,15,14,3,22,4,44,1,0,0,0,30,0,6,18,10,3,13.39,2,16,17,20,5,10.6,0,7.6,-0.8,2.02,0,0,0
1,10,5,6,0,17,19,7,7,13,2,1,1,1,0,23,0,2,0,16,7,13.188,0,6,6,18,12,10.8,7,8.9,0.6,1.79,0,0,0
1,11,4,13,1,12,3,23,4,4,34,1,0,0,0,17,1,2,3,18,0,12.1,0,2,0,9,2,12.5,3,16.2,-0.8,-0.92,0,0,0
2,6,5,13,1,6,21,19,10,32,19,1,0,1,0,29,0,14,4,24,14,10.4,5,5,1,16,2,15.333333333333334,2,15.5,2.8,-1.7,0,0,0
6,1,2,6,0,17,3,19,2,6,7,1,0,0,0,42,1,9,2,19,5,13.666666666666666,6,5,12,7,3,12.6375,7,7.6,0.5,-0.92,0,0,0
2,3,1,12,0,16,8,10,28,4,3,0,0,1,0,19,0,9,18,1,10,11.444444444444445,0,2,12,1,4,13.3125,1,8.9,-0.3,-1.7,0,0,0
6,7,1,10,1,2,19,23,28,28,31,0,0,1,0,42,1,0,11,1,9,12.16,5,3,9,9,0,11.725,6,13.9,2.6,2.02,0,0,0
4,5,5,6,1,16,9,26,9,23,5,0,1,0,0,38,0,14,14,24,9,12.0,2,6,14,11,1,15.142857142857142,7,7.6,0.6,1.79,0,0,0
1,12,3,11,1,1,8,3,2,15,12,1,1,1,1,25,0,7,5,8,0,12.153846153846152,3,1,6,6,0,13.6,2,12.7,2.8,2.02,0,0,0
2,14,2,16,1,16,12,13,27,12,3,0,0,1,0,44,1,2,3,21,9,11.5,2,9,14,12,3,11.708333333333334,2,10.8,2.8,-3.12,0,0,0
3,12,4,15,1,6,8,1,24,5,10,1,0,0,1,43,0,14,7,5,12,10.0,8,5,14,19,10,13.345,7,7.6,3.7,3.51,0,0,0
1,11,6,6,1,6,1,13,2,15,6,0,0,1,0,58,1,0,14,10,2,13.625,2,7,3,13,0,12.428571428571429,1,11.1,0.6,-0.92,0,0,0
2,12,5,5,1,17,19,1,5,10,10,1,1,1,0,55,0,5,3,5,3,12.50625,3,13,14,0,3,11.2,0,12.7,2.8,0.79,0,0,0
3,11,4,14,1,17,1,20,20,12,9,1,0,1,0,33,0,10,1,8,6,13.0,7,9,1,17,10,12.428571428571429,0,12.4,2.6,0.32,0,0,0
3,9,6,6,1,14,16,22,28,6,36,0,0,0,0,40,0,9,14,5,13,13.625,0,5,0,8,11,13.625,6,9.4,-0.3,3.51,0,0,0
3,9,6,13,1,10,12,25,4,29,44,1,0,1,1,33,0,13,5,10,12,10.833333333333334,3,4,12,3,7,10.4,1,15.5,2.8,1.74,0,0,0
4,5,6,15,0,1,12,22,30,18,31,1,0,0,1,51,0,2,2,6,3,13.25,5,10,3,5,11,12.3,1,13.9,2.6,2.02,0,0,0
1,15,3,5,0,8,8,1,14,8,29,0,0,1,1,50,0,11,13,16,11,14.75,4,3,0,13,2,15.333333333333334,6,9.4,2.6,1.74,0,0,0
2,17,5,10,1,15,12,26,14,2,10,1,0,1,0,20,0,2,14,21,15,11.333333333333334,0,9,11,9,8,13.285714285714286,7,12.4,2.6,0.32,0,0,0
1,17,2,10,1,17,16,10,7,31,12,1,1,1,0,53,0,3,0,11,6,10.928571428571429,0,16,6,24,6,14.333333333333334,0,15.5,0.5,-1.7,0,0,0
1,9,1,4,1,7,1,3,21,28,10,0,0,1,0,27,0,14,2,13,7,12.75,6,7,10,3,9,13.164285714285716,5,12.7,-0.8,-1.7,0,0,0
4,3,2,3,0,3,19,22,8,1,2,1,0,0,1,40,1,7,1,3,0,15.333333333333334,8,5,11,9,3,15.622222222222222,7,10.8,0.3,1.79,0,0,0
1,5,6,6,0,1,16,28,7,10,39,1,0,0,0,49,0,5,8,18,6,12.86,0,16,12,3,2,13.666666666666666,8,12.4,2.8,0.32,0,0,0
1,1,4,8,1,6,1,22,16,14,34,0,0,1,0,29,0,8,9,14,7,10.6,7,1,6,9,12,13.428571428571429,3,7.6,2.8,-0.92,0,0,0
6,14,2,8,1,11,1,20,16,5,12,0,0,1,1,21,0,4,14,15,17,10.692307692307692,6,0,17,8,0,13.166666666666666,6,12.4,1.4,0.79,0,0,0
5,6,2,15,1,12,8,29,27,8,36,1,0,0,0,48,0,0,13,10,11,14.857142857142858,4,9,0,11,3,13.2,7,8.9,-0.3,1.74,0,0,0
1,8,5,14,0,12,1,3,1,6,13,0,0,1,0,32,0,2,11,13,13,14.833333333333334,2,1,12,12,12,12.820000000000002,2,8.9,3.7,1.74,0,0,0
3,7,2,5,0,7,1,29,9,14,5,1,0,1,0,29,0,10,0,19,3,12.16,3,7,5,13,10,11.6,0,12.7,0.3,-3.12,0,0,0
6,14,1,2,0,6,1,5,8,5,8,1,1,1,0,25,1,5,10,22,12,14.833333333333334,2,12,4,16,12,13.0,0,9.4,1.4,0.79,0,0,0
4,11,2,6,0,11,12,20,7,6,45,0,1,0,1,19,0,8,11,8,8,12.444444444444445,2,9,5,10,0,12.25,1,16.2,-0.3,2.02,0,0,0
6,16,1,8,1,13,14,17,16,6,16,0,1,0,1,17,0,5,0,22,2,12.457142857142856,2,16,18,0,2,13.083333333333334,5,9.4,2.6,2.02,0,0,0
3,12,5,5,1,11,21,5,3,3,37,1,0,1,0,42,0,15,5,9,9,13.04,8,13,18,16,7,10.833333333333334,4,7.6,-0.3,2.02,0,0,0
6,3,1,9,1,9,9,13,19,1,2,1,0,1,1,25,0,13,6,18,13,13.714285714285714,7,10,7,14,16,14.775,6,9.4,1.4,1.74,0,0,0
6,11,4,12,0,14,1,29,28,7,10,0,0,1,1,20,0,5,6,12,2,12.495714285714286,4,7,11,8,5,11.8375,0,16.2,2.8,-4.06,0,0,0
3,14,5,5,1,16,14,6,27,18,4,1,0,1,1,22,1,6,15,12,9,11.428571428571429,4,1,8,13,2,13.375,7,10.8,0.5,1.74,0,0,0
1,4,2,12,0,1,14,6,9,18,19,1,0,1,1,47,0,8,13,22,9,15.090909090909092,3,12,5,15,6,11.833333333333334,4,16.2,-0.8,3.51,0,0,0
3,5,3,4,0,17,21,23,3,31,4,0,0,0,1,25,0,6,0,9,15,11.0,0,2,10,15,5,12.833333333333334,0,15.5,0.6,-0.92,0,0,0
5,12,1,2,0,2,21,19,2,6,4,0,0,1,1,45,1,10,14,14,13,12.0,6,11,8,13,2,12.066666666666668,0,12.4,0.6,-1.7,0,0,0
1,7,5,6,1,15,12,4,25,31,5,0,0,1,1,21,0,7,3,25,7,13.266666666666666,0,0,13,6,3,13.164285714285716,8,7.6,1.4,1.74,0,0,0
1,1,5,16,0,15,16,10,2,29,39,1,1,1,1,34,0,9,9,23,15,11.616666666666667,1,5,0,22,0,14.26875,2,15.5,1.4,-0.92,0,0,0
2,8,5,13,0,12,16,28,1,5,4,1,0,1,1,25,0,7,7,0,15,12.22222222222222,2,5,12,7,1,12.7,6,16.2,3.7,-0.92,0,0,0
5,13,5,4,0,3,16,9,27,28,2,1,1,1,1,27,0,13,0,21,12,14.26875,4,8,0,14,2,11.4,2,10.8,-0.8,-1.7,0,0,0
3,9,2,10,0,3,14,17,27,9,36,1,0,0,1,59,0,6,0,9,14,12.514285714285716,3,2,6,11,5,12.525,8,11.1,2.6,-0.92,0,0,0
3,14,4,15,0,17,8,7,7,7,24,0,0,1,0,41,0,10,0,10,14,11.95,2,5,8,0,2,11.325,6,12.4,-0.8,2.02,0,0,0
6,3,5,5,1,8,8,17,13,29,19,0,0,1,0,28,0,0,5,17,6,13.625,3,13,0,8,2,13.76,6,10.8,-0.8,-4.06,0,0,0
6,17,1,17,0,16,12,25,24,12,24,0,0,1,1,34,1,4,0,3,11,11.6,7,1,8,13,2,11.6,7,7.6,3.7,1.74,0,0,0
6,10,4,15,0,1,3,6,1,8,2,0,1,0,0,55,0,2,15,9,13,13.333333333333334,7,5,17,6,3,13.666666666666666,7,12.4,2.6,-4.06,0,0,0
3,16,3,15,0,12,14,26,20,2,11,0,0,1,0,27,0,11,7,15,5,12.4,1,11,10,13,10,13.666666666666666,8,13.9,2.8,-4.06,0,0,0
2,16,2,16,0,16,19,23,28,14,4,1,1,1,0,19,0,6,16,21,15,13.5,0,5,8,5,1,10.666666666666666,0,8.9,0.6,0.79,0,0,0
3,8,4,17,1,6,21,19,2,13,12,0,0,1,0,31,1,10,18,9,5,10.744444444444444,4,4,7,12,3,12.375,7,13.9,3.7,-0.92,0,0,0
3,12,2,16,1,8,1,6,14,28,2,0,1,0,0,34,0,1,13,0,10,12.495714285714286,2,5,9,20,4,14.06,7,8.9,0.5,2.02,0,0,0
5,1,1,15,1,14,14,28,9,28,1,0,1,1,0,48,0,3,13,23,13,12.4,1,11,6,17,1,13.625,0,12.7,1.4,1.74,0,0,0
5,16,5,1,0,12,9,4,24,9,13,1,0,1,1,17,1,11,6,11,3,13.34,2,6,1,19,12,11.833333333333334,1,7.6,2.6,0.32,0,0,0
6,5,4,10,1,2,16,25,28,4,37,1,0,1,0,26,0,5,18,17,6,12.142857142857142,1,7,1,13,3,13.67,6,9.4,-0.8,2.02,0,0,0
4,11,2,6,1,16,16,22,24,31,29,0,0,1,1,27,0,7,15,21,3,11.95,6,0,7,19,3,11.2,8,8.9,0.3,0.79,0,0,0
1,10,1,11,1,11,1,23,16,10,16,1,1,1,0,31,1,3,8,20,15,12.0,0,16,3,19,0,12.728571428571428,1,12.7,0.5,3.51,0,0,0
2,15,2,6,1,16,8,5,14,13,42,0,0,1,0,59,0,6,7,2,17,10.2,8,11,4,1,1,11.571428571428571,6,16.2,-0.8,3.51,0,0,0
2,11,1,16,1,17,1,22,1,2,5,1,0,1,0,34,0,10,13,1,12,15.090909090909092,0,8,1,8,0,11.25,8,8.9,2.8,1.74,0,0,0
3,16,5,6,1,10,12,10,24,4,12,0,0,1,0,45,1,14,5,10,3,11.816666666666668,4,8,3,19,2,12.285714285714286,3,15.5,0.6,-4.06,0,0,0
1,13,4,7,0,8,1,13,2,14,34,0,0,1,0,19,0,1,12,1,1,14.514285714285714,1,7,5,0,9,10.84,8,12.7,0.3,-0.92,0,0,0
1,11,6,1,1,1,9,19,19,4,24,1,1,1,1,33,1,0,5,18,6,16.5,0,7,7,13,5,13.083333333333334,5,7.6,0.5,-1.7,0,0,0
5,13,6,10,1,17,3,9,15,3,13,0,0,1,0,55,1,3,2,4,4,12.142857142857142,7,16,6,18,7,11.6,6,7.6,1.4,3.51,0,0,0
3,8,1,16,1,13,21,1,5,31,1,1,0,1,0,49,0,14,7,6,1,13.861666666666666,6,2,9,12,5,12.6375,0,10.8,-0.8,3.51,0,0,0
1,14,5,8,1,15,3,5,27,12,13,0,1,0,0,35,0,2,6,0,4,14.06,6,13,4,20,5,12.666666666666666,4,15.5,1.4,-1.7,0,0,0
5,17,5,4,0,11,12,4,25,28,9,0,0,1,0,58,0,9,6,17,17,13.462857142857144,3,4,6,7,12,14.142857142857142,8,11.1,0.3,2.02,0,0,0
4,8,5,15,0,13,1,22,4,28,13,0,0,1,0,58,1,14,5,4,6,12.85,2,5,13,1,2,13.875,0,12.7,-0.8,1.79,0,0,0
3,6,6,16,0,3,8,13,21,14,6,1,0,1,0,58,0,7,6,21,4,10.744444444444444,4,4,18,4,12,0.0,5,11.1,1.4,-0.92,0,0,0
5,5,1,5,1,2,3,7,20,9,16,0,1,1,0,33,1,3,0,22,14,10.5,8,5,6,17,5,13.0,4,8.9,-0.8,2.02,0,0,0
1,9,4,15,0,11,16,23,28,6,7,1,0,1,1,24,0,7,11,14,6,12.428571428571429,7,0,2,4,9,15.2,5,10.8,2.6,1.74,0,0,0
5,10,3,16,0,13,9,3,15,31,3,1,1,0,0,23,0,5,11,15,9,13.166666666666666,8,16,8,16,8,14.75,8,12.4,0.3,-3.12,0,0,0
1,7,6,5,1,13,12,26,28,15,8,1,0,1,1,23,0,7,5,2,12,14.514285714285714,0,7,6,27,1,12.15,8,10.8,2.6,0.79,0,0,0
3,3,2,8,1,2,1,28,10,6,34,1,0,0,0,20,0,10,3,8,15,10.75,1,7,2,9,5,10.571428571428571,0,8.9,2.6,3.51,0,0,0
5,9,1,10,0,1,3,1,3,9,11,0,0,1,0,21,0,2,10,10,4,11.94,8,3,1,6,6,10.666666666666666,6,7.6,2.6,1.74,0,0,0
1,13,2,5,1,14,21,28,27,23,31,1,0,0,0,45,1,2,11,6,2,13.266666666666666,2,2,4,24,8,11.833333333333334,8,10.8,0.6,-1.7,0,0,0
3,8,1,4,1,8,21,28,28,10,10,1,0,1,1,45,1,15,6,7,6,13.548333333333334,6,5,0,20,10,15.333333333333334,0,16.2,3.7,-1.7,0,0,0
3,14,4,17,1,3,1,2,3,3,12,1,0,1,1,44,0,13,7,16,8,14.6,6,0,7,16,3,12.82875,8,13.9,3.7,-1.7,0,0,0
6,6,2,9,1,10,14,26,30,13,7,1,0,1,1,21,0,4,11,5,9,14.285714285714286,3,16,17,24,7,12.5,0,10.8,2.6,2.02,0,0,0
3,12,5,13,1,8,3,12,25,32,9,0,0,1,0,23,1,9,3,24,8,12.833333333333334,0,16,12,15,6,12.042857142857144,2,12.4,2.6,-3.12,0,0,0
1,1,3,1,1,1,3,9,14,1,45,0,1,1,0,29,0,13,0,13,9,12.25,0,2,2,7,2,13.414285714285716,7,15.5,2.6,1.79,0,0,0
4,16,1,12,1,16,3,28,14,11,11,1,0,1,1,31,0,1,12,14,7,13.79714285714286,4,3,5,3,7,10.978571428571428,2,7.6,-0.8,0.79,0,0,0
5,15,3,15,1,16,14,28,3,29,6,1,1,0,0,23,0,8,13,15,9,11.5,0,12,8,3,4,11.675,0,9.4,3.7,-0.92,0,0,0
5,6,6,9,1,12,1,10,27,2,4,0,1,0,0,51,1,10,0,4,6,13.285714285714286,1,2,7,12,0,12.525,8,10.8,0.3,0.79,0,0,0
4,3,1,11,0,12,16,25,29,11,37,1,1,0,1,30,1,5,7,23,0,11.166666666666666,8,0,12,20,9,10.8,3,13.9,0.5,-4.06,0,0,0
3,12,2,15,1,8,3,3,9,4,37,1,0,1,1,44,1,5,1,0,15,15.428571428571429,0,9,9,6,9,11.783333333333331,5,12.7,3.7,2.02,0,0,0
4,13,5,13,0,14,1,10,22,32,1,1,0,1,1,50,0,2,3,5,10,14.26875,7,13,18,11,3,11.25,1,15.5,-0.8,-4.06,0,0,0
3,11,4,2,1,14,3,19,9,1,6,1,0,1,1,58,1,3,15,13,14,10.6,7,0,6,19,10,11.675,2,13.9,0.3,0.32,0,0,0
4,14,6,12,1,6,14,19,14,23,5,0,0,1,1,26,1,13,13,23,5,15.2,1,16,0,14,2,10.4,5,10.8,0.3,1.74,0,0,0
1,7,5,13,1,7,1,10,1,12,2,1,0,0,1,35,1,14,12,18,3,13.428571428571429,0,6,1,9,3,12.242857142857144,6,7.6,-0.8,2.02,0,0,0
1,13,5,12,0,6,16,17,1,12,45,1,0,1,0,34,1,14,15,2,4,10.375,4,7,2,11,6,11.425,7,7.6,3.7,-1.7,0,0,0
2,13,1,16,1,9,19,20,20,10,8,1,0,1,0,51,1,8,7,10,6,13.666666666666666,3,13,12,22,4,11.95,0,8.9,2.6,-4.06,0,0,0
4,3,3,5,1,12,14,1,2,12,4,1,0,1,1,27,1,5,2,8,7,12.333333333333334,3,12,9,20,3,13.3125,0,16.2,0.6,-4.06,0,0,0
1,5,1,16,0,10,12,13,28,13,45,0,0,0,0,34,0,5,5,13,1,12.666666666666666,1,2,6,24,9,11.783333333333331,6,7.6,0.6,-3.12,0,0,0
2,1,6,6,0,9,1,20,30,15,36,1,0,1,0,24,0,9,13,13,12,14.714285714285714,2,7,18,4,5,10.84,8,15.5,2.8,0.79,0,0,0
2,11,1,7,1,14,21,25,3,31,5,1,0,1,1,41,1,3,6,16,6,15.428571428571429,0,12,0,6,3,12.242857142857144,2,10.8,-0.8,-1.7,0,0,0
5,13,2,9,0,13,3,2,30,10,2,1,0,0,0,43,1,13,3,19,14,12.571428571428571,4,0,2,20,1,12.757142857142856,8,8.9,-0.3,0.79,0,0,0
3,16,2,4,1,1,19,17,20,2,37,0,0,0,1,23,1,9,6,12,5,12.65,4,8,17,12,1,11.0,7,15.5,0.3,-1.7,0,0,0
6,13,6,4,0,10,8,5,29,5,34,1,0,1,0,31,1,9,16,17,9,15.75,6,5,2,22,7,11.6,5,12.4,0.6,3.51,0,0,0
4,13,1,2,1,1,12,9,5,28,34,1,0,1,0,27,0,11,5,3,1,17.0,6,1,9,21,11,12.625,6,8.9,2.8,1.79,0,0,0
5,6,4,1,1,14,21,17,7,6,11,1,0,1,1,42,0,6,12,20,14,11.833333333333334,5,3,2,4,16,11.875,2,10.8,2.8,0.79,0,0,0
6,9,1,16,1,9,9,20,2,7,10,1,0,1,0,40,0,0,12,11,7,11.285714285714286,0,0,4,12,3,12.86,8,11.1,0.6,1.74,0,0,0
6,3,5,14,1,6,21,1,21,8,5,1,0,0,0,36,1,1,4,23,11,16.0,4,0,2,21,5,12.545454545454543,5,8.9,2.6,0.32,0,0,0
6,9,1,15,1,7,19,12,1,18,2,0,0,1,0,58,1,10,18,0,2,14.833333333333334,0,10,8,22,5,14.06,0,8.9,-0.8,2.02,0,0,0
3,15,1,14,1,13,1,22,22,18,7,1,0,0,0,45,0,10,9,8,2,11.705714285714285,2,8,10,12,0,13.0,2,12.4,2.8,-4.06,0,0,0
