Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Tuition fees up to date,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Gender,Debtor,Probability
Single,Online,1,Computer Science,Daytime,Bachelor's degree,,Master's degree,PhD,Engineer,Doctor,No,No,Yes,No,20,No,,,,,,,,,,,,,5%,2%,3%,0,0,0
Married,In-person,2,Business Administration,Evening,High School diploma,,Bachelor's degree,Bachelor's degree,Teacher,Accountant,Yes,Yes,No,Yes,25,Yes,,,,,,,,,,,,,7%,3%,2%,0,0,0
Divorced,Hybrid,3,Psychology,Daytime,Associate's degree,,High School diploma,High School diploma,Nurse,Police officer,No,No,Yes,No,30,No,,,,,,,,,,,,,6%,2.5%,2.5%,0,0,0
Single,Online,1,Nursing,Evening,Master's degree,,PhD,Master's degree,Scientist,Engineer,Yes,Yes,No,Yes,22,Yes,,,,,,,,,,,,,8%,3.5%,1.5%,0,0,0
Married,In-person,2,Economics,Daytime,Bachelor's degree,,High School diploma,Bachelor's degree,Chef,Lawyer,No,No,Yes,No,27,No,,,,,,,,,,,,,7%,2.5%,2.5%,0,0,0
Divorced,Hybrid,3,Sociology,Evening,High School diploma,,Bachelor's degree,Master's degree,Artist,Architect,Yes,Yes,No,Yes,32,Yes,,,,,,,,,,,,,6%,2%,3%,0,0,0
Single,Online,1,Education,Daytime,Associate's degree,,Master's degree,PhD,Professor,Researcher,No,No,Yes,No,24,No,,,,,,,,,,,,,5%,1.5%,3.5%,0,0,0
Married,In-person,2,Medicine,Evening,High School diploma,,Bachelor's degree,Bachelor's degree,Pharmacist,Dentist,Yes,Yes,No,Yes,28,Yes,,,,,,,,,,,,,8%,2%,3%,0,0,0
Divorced,Hybrid,3,Engineering,Daytime,Master's degree,,PhD,Master's degree,Lawyer,Engineer,No,No,Yes,No,31,No,,,,,,,,,,,,,7%,2.5%,2.5%,0,0,0
Single,Online,1,Environmental Science,Evening,Bachelor's degree,,High School diploma,Bachelor's degree,Biologist,Pilot,Yes,Yes,No,Yes,23,Yes,,,,,,,,,,,,,6%,2%,3%,0,0,0
Married,In-person,2,History,Daytime,High School diploma,,Bachelor's degree,Master's degree,Librarian,Professor,No,No,Yes,No,26,No,,,,,,,,,,,,,5%,1.5%,3.5%,0,0,0
Divorced,Hybrid,3,Linguistics,Evening,Associate's degree,,Master's degree,PhD,Translator,Writer,Yes,Yes,No,Yes,29,Yes,,,,,,,,,,,,,8%,3%,2%,0,0,0
Single,Online,1,Mathematics,Daytime,Master's degree,,PhD,Master's degree,Mathematician,Statistician,No,No,Yes,No,21,No,,,,,,,,,,,,,7%,2.5%,2.5%,0,0,0
Married,In-person,2,Physics,Evening,Bachelor's degree,,High School diploma,Bachelor's degree,Astr,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Single,Online,1,Computer Science,Daytime,Bachelor's degree,,Master's degree,PhD,Engineer,Doctor,No,No,Yes,No,20,No,,,,,,,,,,,,,5%,2%,$20,0,0,0
Married,In-person,2,Business Administration,Evening,High School diploma,,Bachelor's degree,Bachelor's degree,Teacher,Lawyer,Yes,Yes,No,Yes,25,Yes,,,,,,,,,,,,,6%,3%,$25,0,0,0
Divorced,Hybrid,3,Psychology,Daytime,Associate's degree,,High School diploma,High School diploma,Nurse,Police officer,No,No,Yes,No,30,No,,,,,,,,,,,,,7%,4%,$30,0,0,0
