Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Probability
4,12,1,8,1,1,1,3,1,6,6,1,0,0,1,0,1,30.0,0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,6.0,16.0,1.0,10.0,0.0,11.1,0.6,2.02,0
1,12,1,12,1,1,1,22,14,10,9,1,0,0,1,0,0,27.0,0,0.0,7.0,14.0,0.0,0.0,0.0,0.0,7.0,14.0,0.0,0.0,0.0,11.1,0.6,2.02,0
1,1,1,15,1,1,1,3,3,3,6,0,0,0,1,0,0,19.0,0,0.0,6.0,6.0,6.0,12.166666666666666,0.0,0.0,6.0,6.0,6.0,12.5,0.0,16.2,0.3,-0.92,0
1,4,1,12,1,3,1,1,1,10,6,0,0,0,1,0,0,33.0,0,2.0,7.0,8.0,6.0,14.35,0.0,3.0,8.0,10.0,6.0,14.583333333333334,0.0,16.2,0.3,-0.92,0
1,8,4,11,1,1,1,1,1,5,5,1,0,0,1,0,0,19.0,0,0.0,6.0,7.0,6.0,11.666666666666666,0.0,0.0,6.0,6.0,6.0,12.333333333333334,0.0,13.9,-0.3,0.79,0
5,1,3,6,1,1,1,13,14,5,8,1,0,0,1,0,0,21.0,0,0.0,5.0,13.0,5.0,12.2,2.0,0.0,5.0,10.0,3.0,11.333333333333334,1.0,9.4,-0.8,-3.12,0
1,1,1,12,1,1,1,22,28,7,7,1,0,0,1,0,1,19.0,0,0.0,8.0,10.0,6.0,11.833333333333334,0.0,0.0,8.0,10.0,6.0,11.833333333333334,0.0,9.4,-0.8,-3.12,0
1,8,1,9,1,1,1,13,14,8,8,1,0,0,1,0,0,23.0,0,0.0,5.0,7.0,2.0,10.0,1.0,0.0,5.0,9.0,1.0,12.0,0.0,9.4,-0.8,-3.12,0
1,1,1,14,1,1,1,10,10,6,8,1,0,0,1,0,0,18.0,0,0.0,6.0,8.0,6.0,14.625,0.0,0.0,6.0,9.0,6.0,14.142857142857142,0.0,11.1,0.6,2.02,0
6,8,3,3,0,1,1,13,1,6,12,0,0,0,0,0,0,24.0,0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,10.8,1.4,1.74,0
1,14,1,3,0,1,1,22,27,10,10,0,0,0,1,0,0,23.0,0,9.0,13.0,15.0,9.0,11.0,0.0,4.0,11.0,12.0,7.0,11.571428571428571,0.0,15.5,2.8,-4.06,0
1,1,1,9,1,1,1,22,28,5,10,1,0,0,1,0,0,18.0,0,0.0,5.0,8.0,2.0,10.5,0.0,0.0,5.0,7.0,3.0,12.333333333333334,0.0,7.6,2.6,0.32,0
1,15,1,6,1,14,1,3,28,3,10,1,0,0,1,0,0,21.0,0,7.0,12.0,18.0,8.0,12.25,0.0,4.0,12.0,27.0,8.0,12.2,0.0,12.4,0.5,1.79,0
