gender,region,imd_band,age_band,studied_credits,disability,Probability
0,South West Region,40-50%,0-35,30,0,1
0,South West Region,70-80%,0-35,30,0,1
0,South West Region,20-30%,0-35,120,0,1
0,Wales,70-80%,0-35,120,0,1
0,East Anglian Region,30-40%,0-35,60,0,1
0,South East Region,40-50%,0-35,60,0,1
0,South West Region,30-40%,0-35,30,0,1
0,East Midlands Region,60-70%,35-55,30,0,1
0,South West Region,10-20,0-35,30,0,1
0,West Midlands Region,20-30%,0-35,60,0,1
0,South East Region,30-40%,35-55,60,0,1
0,South Region,40-50%,35-55,60,0,1
0,South East Region,90-100%,35-55,60,0,1
0,West Midlands Region,80-90%,0-35,60,0,1
0,North Western Region,20-30%,0-35,30,0,1
0,East Anglian Region,40-50%,0-35,60,0,1
0,North Western Region,30-40%,0-35,60,0,1
0,East Midlands Region,50-60%,0-35,60,0,1
0,Scotland,20-30%,0-35,85,0,1
0,South East Region,50-60%,0-35,90,0,1
0,West Midlands Region,20-30%,0-35,120,0,1
0,West Midlands Region,10-20,0-35,30,0,1
0,London Region,50-60%,0-35,120,0,1
0,Scotland,40-50%,0-35,60,0,1
0,North Western Region,20-30%,35-55,30,0,1
0,South Region,90-100%,0-35,30,0,1
0,South West Region,0-10%,0-35,60,0,1
0,South West Region,20-30%,35-55,30,0,1
0,Ireland,0-10%,0-35,60,0,1
0,Scotland,50-60%,35-55,240,0,1
0,London Region,30-40%,35-55,60,0,1
0,London Region,30-40%,0-35,90,0,1
0,North Western Region,20-30%,0-35,120,0,1
0,South West Region,80-90%,0-35,60,0,1
0,Scotland,30-40%,0-35,60,0,1
0,North Western Region,20-30%,0-35,120,0,1
0,West Midlands Region,70-80%,0-35,30,0,1
0,Wales,20-30%,35-55,60,0,1
0,Wales,0-10%,0-35,60,0,1
0,East Anglian Region,80-90%,0-35,150,0,1
0,South West Region,30-40%,0-35,30,0,1
0,South West Region,10-20,0-35,60,0,1
0,East Anglian Region,50-60%,0-35,30,0,1
0,East Anglian Region,70-80%,35-55,60,0,1
0,South Region,60-70%,0-35,150,0,1
0,Scotland,30-40%,0-35,60,0,1
0,South Region,80-90%,0-35,60,0,1
0,South East Region,60-70%,0-35,240,0,1
0,East Anglian Region,80-90%,0-35,120,0,1
0,East Midlands Region,60-70%,35-55,60,0,1
0,East Anglian Region,0-10%,0-35,30,0,1
0,West Midlands Region,40-50%,0-35,60,0,1
0,South Region,80-90%,35-55,60,0,1
0,East Anglian Region,70-80%,0-35,120,0,1
0,South West Region,40-50%,0-35,60,0,1
0,South East Region,60-70%,35-55,30,0,1
0,South Region,70-80%,0-35,60,0,1
0,East Midlands Region,10-20,35-55,30,0,1
0,London Region,30-40%,0-35,60,0,1
0,London Region,0-10%,0-35,60,0,1
0,Scotland,30-40%,0-35,60,0,1
