region,imd_band,age_band,studied_credits,gender,disability,Probability
North,,,,0,0,1
,5,,,0,0,1
,,30-35,,0,0,1
,,,60,0,0,1
South,,,,0,0,1
,2,,,0,0,1
,,20-25,,0,0,1
,,,90,0,0,1
East,,,,0,0,1
,4,,,0,0,1
,,25-30,,0,0,1
,,,120,0,0,1
West,,,,0,0,1
,3,,,0,0,1
,,35-40,,0,0,1
,,,75,0,0,1
Midlands,,,,0,0,1
,1,,,0,0,1
,,18-20,,0,0,1
,,,30,0,0,1
North,,,,0,0,1
,6,,,0,0,1
,,40-45,,0,0,1
,,,100,0,0,1
South,,,,0,0,1
,3,,,0,0,1
,,30-35,,0,0,1
,,,45,0,0,1
East,,,,0,0,1
,5,,,0,0,1
,,20-25,,0,0,1
,,,60,0,0,1
West,,,,0,0,1
,4,,,0,0,1
,,25-30,,0,0,1
,,,90,0,0,1
Midlands,,,,0,0,1
,2,,,0,0,1
,,35-40,,0,0,1
,,,75,0,0,1
North,,,,0,0,1
,1,,,0,0,1
,,18-20,,0,0,1
,,,30,0,0,1
South,,,,0,0,1
,6,,,0,0,1
,,40-45,,0,0,1
,,,100,0,0,1
East,,,,0,0,1
,3,,,0,0,1
,,30-35,,0,0,1
,,,45,0,0,1
West,,,,0,0,1
,5,,,0,0,1
,,20-25,,0,0,1
,,,60,0,0,1
Midlands,,,,0,0,1
,4,,,0,0,1
,,25-30,,0,0,1
,,,90,0,0,1
North,,,,0,0,1
,2,,,0,0,1
,,35-40,,0,0,1
,,,75,0,0,1
South,,,,0,0,1
,1,,,0,0,1
,,18-20,,0,0,1
,,,30,0,0,1
East,,,,0,0,1
,6,,,0,0,1
,,40-45,,0,0,1
,,,100,0,0,1
West,,,,0,0,1
,3,,,0,0,1
,,30-35,,0,0,1
,,,45,0,0,1
Midlands,,,,0,0,1
,5,,,0,0,1
,,20-25,,0,0,1
,,,60,0,0,1
North,,,,0,0,1
,4,,,0,0,1
,,25-30,,0,0,1
,,,90,0,0,1
South,,,,0,0,1
,2,,,0,0,1
,,35-40,,0,0,1
,,,75,0,0,1
East,,,,0,0,1
,1,,,0,0,1
,,18-20,,0,0,1
,,,30,0,0,1
West,,,,0,0,1
,6,,,0,0,1
,,40-45,,0,0,1
,,,100,0,0,1
Midlands,,,,0,0,1
,3,,,0,0,1
,,30-35,,0,0,1
,,,45,0,0,1
South,,,,0,0,1
,5,,,0,0,1
,,30-35,,0,0,1
,,,60,0,0,1
North,,,,0,0,1
,3,,,0,0,1
,,20-25,,0,0,1
,,,90,0,0,1
East,,,,0,0,1
,2,,,0,0,1
,,25-30,,0,0,1
,,,120,0,0,1
West,,,,0,0,1
,4,,,0,0,1
,,35-40,,0,0,1
,,,75,0,0,1
Midlands,,,,0,0,1
,1,,,0,0,1
,,18-20,,0,0,1
,,,30,0,0,1
South,,,,0,0,1
,4,,,0,0,1
,,40-45,,0,0,1
,,,45,0,0,1
North,,,,0,0,1
,5,,,0,0,1
,,30-35,,0,0,1
,,,60,0,0,1
East,,,,0,0,1
,3,,,0,0,1
,,20-25,,0,0,1
,,,90,0,0,1
West,,,,0,0,1
,2,,,0,0,1
,,25-30,,0,0,1
,,,120,0,0,1
Midlands,,,,0,0,1
,4,,,0,0,1
,,35-40,,0,0,1
,,,75,0,0,1
South,,,,0,0,1
,1,,,0,0,1
,,18-20,,0,0,1
,,,30,0,0,1
North,,,,0,0,1
,4,,,0,0,1
,,40-45,,0,0,1
,,,45,0,0,1
East,,,,0,0,1
,5,,,0,0,1
,,30-35,,0,0,1
,,,60,0,0,1
West,,,,0,0,1
,3,,,0,0,1
,,20-25,,0,0,1
,,,90,0,0,1
Midlands,,,,0,0,1
,2,,,0,0,1
,,25-30,,0,0,1
,,,120,0,0,1
South,,,,0,0,1
,4,,,0,0,1
,,35-40,,0,0,1
,,,75,0,0,1
North,,,,0,0,1
,1,,,0,0,1
,,18-20,,0,0,1
,,,30,0,0,1
East,,,,0,0,1
,4,,,0,0,1
,,40-45,,0,0,1
,,,45,0,0,1
West,,,,0,0,1
,5,,,0,0,1
,,30-35,,0,0,1
,,,60,0,0,1
Midlands,,,,0,0,1
,3,,,0,0,1
,,20-25,,0,0,1
,,,90,0,0,1
South,,,,0,0,1
,2,,,0,0,1
,,25-30,,0,0,1
,,,120,0,0,1
North,,,,0,0,1
,4,,,0,0,1
,,35-40,,0,0,1
,,,75,0,0,1
East,,,,0,0,1
,1,,,0,0,1
,,18-20,,0,0,1
,,,30,0,0,1
West,,,,0,0,1
,4,,,0,0,1
,,40-45,,0,0,1
,,,45,0,0,1
Midlands,,,,0,0,1
,5,,,0,0,1
,,30-35,,0,0,1
,,,60,0,0,1
South,,,,0,0,1
,3,,,0,0,1
,,20-25,,0,0,1
,,,90,0,0,1
North,,,,0,0,1
,2,,,0,0,1
,,25-30,,0,0,1
,,,120,0,0,1
North,,,,0,0,1
,5-10%,,,0,0,1
,,20-35,,0,0,1
,,,60,0,0,1
South,,,,0,0,1
,10-20%,,,0,0,1
,,35-50,,0,0,1
,,,90,0,0,1
East,,,,0,0,1
,20-30%,,,0,0,1
,,50-65,,0,0,1
,,,120,0,0,1
West,,,,0,0,1
,30-40%,,,0,0,1
,,65+,,0,0,1
,,,150,0,0,1
North,,,,0,0,1
,40-50%,,,0,0,1
,,20-35,,0,0,1
,,,60,0,0,1
South,,,,0,0,1
,50-60%,,,0,0,1
,,35-50,,0,0,1
,,,90,0,0,1
East,,,,0,0,1
,60-70%,,,0,0,1
,,50-65,,0,0,1
,,,120,0,0,1
West,,,,0,0,1
,70-80%,,,0,0,1
,,65+,,0,0,1
,,,150,0,0,1
North,,,,0,0,1
,80-90%,,,0,0,1
,,20-35,,0,0,1
,,,60,0,0,1
South,,,,0,0,1
,90-100%,,,0,0,1
,,35-50,,0,0,1
,,,90,0,0,1
East,,,,0,0,1
,100%,,,0,0,1
,,50-65,,0,0,1
,,,120,0,0,1
West,,,,0,0,1
,0-5%,,,0,0,1
,,65+,,0,0,1
,,,150,0,0,1
North,,,,0,0,1
,5-10%,,,0,0,1
,,20-35,,0,0,1
,,,60,0,0,1
South,,,,0,0,1
,10-20%,,,0,0,1
,,35-50,,0,0,1
,,,90,0,0,1
East,,,,0,0,1
,20-30%,,,0,0,1
,,50-65,,0,0,1
,,,120,0,0,1
West,,,,0,0,1
,30-40%,,,0,0,1
,,65+,,0,0,1
,,,150,0,0,1
North,,,,0,0,1
,40-50%,,,0,0,1
,,20-35,,0,0,1
,,,60,0,0,1
South,,,,0,0,1
,50-60%,,,0,0,1
,,35-50,,0,0,1
,,,90,0,0,1
East,,,,0,0,1
,60-70%,,,0,0,1
,,50-65,,0,0,1
,,,120,0,0,1
West,,,,0,0,1
,70-80%,,,0,0,1
,,65+,,0,0,1
,,,150,0,0,1
North,,,,0,0,1
,80-90%,,,0,0,1
,,20-35,,0,0,1
,,,60,0,0,1
South,,,,0,0,1
,90-100%,,,0,0,1
,,35-50,,0,0,1
,,,90,0,0,1
