gender,region,imd_band,age_band,studied_credits,disability,Probability
0,East Midlands Region,10-20,35-55,210.0,0,0
0,East Midlands Region,50-60%,0-35,30.0,0,0
0,North Western Region,0-10%,0-35,180.0,0,0
0,East Anglian Region,50-60%,0-35,30.0,0,0
0,Scotland,0-10%,35-55,120.0,0,0
0,West Midlands Region,40-50%,35-55,30.0,0,0
0,South East Region,40-50%,0-35,60.0,0,0
0,London Region,40-50%,0-35,120.0,0,0
0,East Anglian Region,30-40%,0-35,60.0,0,0
0,Scotland,30-40%,0-35,60.0,0,0
0,North Western Region,20-30%,0-35,90.0,0,0
0,Wales,10-20,35-55,120.0,0,0
0,North Western Region,10-20,0-35,90.0,0,0
0,East Midlands Region,10-20,35-55,120.0,0,0
0,London Region,20-30%,35-55,120.0,0,0
0,East Anglian Region,60-70%,35-55,120.0,0,0
0,South East Region,40-50%,0-35,120.0,0,0
0,North Western Region,10-20,35-55,120.0,0,0
0,East Midlands Region,60-70%,0-35,60.0,0,0
0,South East Region,40-50%,0-35,30.0,0,0
0,South West Region,80-90%,0-35,120.0,0,0
0,West Midlands Region,50-60%,0-35,60.0,0,0
0,East Anglian Region,40-50%,0-35,60.0,0,0
0,North Western Region,0-10%,0-35,90.0,0,0
0,West Midlands Region,40-50%,0-35,120.0,0,0
0,Scotland,0-10%,35-55,60.0,0,0
0,South West Region,30-40%,0-35,120.0,0,0
0,London Region,30-40%,0-35,30.0,0,0
0,East Anglian Region,20-30%,0-35,60.0,0,0
0,East Midlands Region,60-70%,0-35,90.0,0,0
0,West Midlands Region,20-30%,0-35,120.0,0,0
0,Scotland,30-40%,0-35,120.0,0,0
0,West Midlands Region,10-20,0-35,90.0,0,0
0,East Midlands Region,70-80%,35-55,30.0,0,0
0,Wales,70-80%,0-35,60.0,0,0
0,North Western Region,30-40%,0-35,120.0,0,0
0,South West Region,40-50%,35-55,60.0,0,0
0,Scotland,0-10%,0-35,120.0,0,0
0,East Anglian Region,30-40%,0-35,30.0,0,0
0,East Anglian Region,70-80%,35-55,180.0,0,0
0,East Midlands Region,10-20,35-55,180.0,0,0
