gender,region,imd_band,age_band,studied_credits,disability,Probability
1,North Region,50-60%,0-35,60,1,1
1,North Region,10-20,0-35,120,1,0
0,Scotland,10-20,0-35,90,1,0
1,East Anglian Region,80-90%,35-55,90,1,1
1,East Anglian Region,50-60%,0-35,90,1,0
0,Scotland,10-20,0-35,120,1,1
1,South West Region,20-30%,35-55,120,1,0
1,South Region,60-70%,0-35,60,1,1
0,North Region,80-90%,35-55,60,1,1
1,South Region,80-90%,0-35,60,1,0
0,South West Region,40-50%,35-55,30,1,1
1,South Region,90-100%,0-35,60,1,0
1,Scotland,50-60%,0-35,90,0,1
1,Wales,50-60%,35-55,60,1,1
0,North Western Region,0-10%,0-35,60,1,0
0,East Midlands Region,90-100%,35-55,90,1,1
1,Scotland,50-60%,55<=,30,1,0
1,London Region,60-70%,35-55,60,1,1
1,South West Region,20-30%,0-35,60,1,1
1,East Anglian Region,90-100%,35-55,120,1,0
1,Scotland,30-40%,0-35,90,1,0
0,Yorkshire Region,10-20,0-35,60,1,1
0,South Region,80-90%,0-35,120,1,1
1,Yorkshire Region,0-10%,0-35,120,1,0
0,Ireland,30-40%,0-35,90,1,1
0,London Region,50-60%,0-35,60,1,0
0,Scotland,90-100%,0-35,60,1,1
0,South Region,10-20,0-35,60,1,0
1,West Midlands Region,40-50%,0-35,120,1,0
1,South Region,90-100%,0-35,60,1,1
0,Scotland,30-40%,0-35,60,1,1
0,London Region,10-20,0-35,60,1,1
1,East Anglian Region,10-20,0-35,30,1,1
0,East Midlands Region,40-50%,35-55,60,1,1
1,London Region,20-30%,0-35,60,1,0
1,East Anglian Region,80-90%,0-35,60,1,1
1,South East Region,40-50%,0-35,90,1,0
0,Wales,30-40%,35-55,60,1,0
1,Yorkshire Region,80-90%,0-35,120,1,0
1,East Anglian Region,90-100%,35-55,30,1,0
1,East Anglian Region,20-30%,35-55,30,1,0
1,Scotland,90-100%,0-35,45,1,1
0,Scotland,10-20,0-35,60,1,1
1,South East Region,30-40%,0-35,90,1,1
1,Yorkshire Region,50-60%,0-35,60,1,1
1,West Midlands Region,40-50%,0-35,90,1,0
1,Scotland,90-100%,35-55,60,1,1
1,Wales,30-40%,0-35,150,1,1
0,North Region,0-10%,0-35,120,1,1
1,Wales,90-100%,0-35,60,1,0
1,West Midlands Region,50-60%,0-35,30,1,0
0,Yorkshire Region,70-80%,0-35,30,1,0
0,Wales,80-90%,0-35,120,1,1
1,South Region,70-80%,55<=,60,1,0
1,West Midlands Region,10-20,35-55,60,1,0
1,Scotland,90-100%,35-55,60,1,1
0,North Western Region,0-10%,0-35,120,1,1
1,West Midlands Region,60-70%,35-55,60,1,0
1,East Anglian Region,90-100%,35-55,150,1,1
1,Yorkshire Region,70-80%,0-35,60,1,1
