sex,age,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,Probability
0,17,2,2,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3.0,3.0,2.0,2.0,2.0,0,3.0,11.0,11.0,0
0,17,1,1,1,2,0,no,no,no,yes,yes,yes,yes,yes,4.0,5.0,5.0,1.0,2.0,0,2.0,11.0,10.0,0
0,17,1,1,1,2,0,no,yes,no,no,no,yes,yes,no,5.0,3.0,3.0,1.0,1.0,0,4.0,5.0,5.0,0
0,16,2,1,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5.0,3.0,4.0,1.0,1.0,0,8.0,8.0,9.0,0
0,15,3,2,1,2,1,no,yes,no,no,yes,yes,yes,no,3.0,3.0,2.0,1.0,1.0,0,2.0,11.0,11.0,0
0,17,3,1,1,2,0,no,yes,no,yes,no,yes,yes,no,4.0,5.0,4.0,2.0,3.0,0,10.0,8.0,9.0,0
0,19,1,1,2,2,1,no,yes,no,no,yes,yes,yes,yes,1.0,1.0,4.0,4.0,1.0,0,12.0,7.0,8.0,0
0,16,4,4,1,2,0,no,yes,no,no,yes,yes,yes,yes,4.0,3.0,4.0,1.0,2.0,0,4.0,8.0,8.0,0
0,17,3,2,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,3.0,3.0,2.0,3.0,0,4.0,9.0,10.0,0
0,17,3,1,2,3,0,no,yes,yes,no,yes,no,no,no,4.0,2.0,3.0,2.0,2.0,0,5.0,8.0,7.0,0
0,16,4,4,1,2,0,no,yes,no,no,yes,yes,yes,no,4.0,5.0,2.0,1.0,2.0,0,0.0,11.0,10.0,0
0,16,2,2,1,2,0,no,yes,no,no,yes,yes,no,no,4.0,3.0,4.0,1.0,2.0,0,6.0,13.0,11.0,0
0,19,4,4,2,2,0,no,yes,yes,yes,yes,yes,yes,no,2.0,3.0,4.0,2.0,3.0,0,0.0,10.0,9.0,0
0,19,1,1,1,2,1,yes,yes,no,yes,no,yes,yes,no,4.0,4.0,3.0,1.0,3.0,0,18.0,12.0,10.0,0
0,17,1,1,1,3,0,no,yes,no,no,yes,yes,no,yes,4.0,3.0,3.0,1.0,1.0,0,0.0,11.0,11.0,0
0,18,2,1,2,3,0,no,yes,yes,no,no,yes,yes,yes,4.0,4.0,4.0,1.0,1.0,0,0.0,7.0,0.0,0
0,15,1,1,2,1,1,no,yes,no,no,yes,yes,yes,yes,4.0,4.0,3.0,1.0,2.0,0,4.0,6.0,7.0,0
0,17,4,4,2,2,0,yes,yes,no,no,yes,yes,no,no,4.0,1.0,4.0,1.0,1.0,0,6.0,6.0,5.0,0
0,18,2,3,1,3,0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,2.0,0,4.0,11.0,10.0,0
0,16,3,2,2,2,2,no,yes,no,yes,yes,yes,no,yes,2.0,5.0,5.0,1.0,1.0,0,8.0,5.0,5.0,0
0,16,2,2,3,2,0,no,yes,no,no,yes,no,yes,no,3.0,4.0,5.0,1.0,2.0,0,1.0,9.0,10.0,0
0,17,1,1,3,1,1,no,yes,yes,no,yes,yes,yes,yes,5.0,2.0,1.0,1.0,2.0,0,0.0,7.0,6.0,0
0,17,4,3,1,2,2,no,no,yes,no,yes,yes,yes,yes,3.0,4.0,5.0,2.0,4.0,0,22.0,6.0,6.0,0
