age,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,absences,G1,G2,sex,health,Probability
16,1,0,2,2,2,yes,yes,no,no,yes,yes,yes,no,3,5,1,2,1,8,9,10,1,0,0
18,3,2,1,2,1,yes,yes,no,yes,yes,no,yes,no,3,2,1,5,3,3,5,12,1,0,0
17,3,1,2,3,0,no,no,no,no,no,yes,yes,yes,5,1,3,3,5,7,9,9,1,0,0
18,4,4,1,2,0,yes,yes,no,no,yes,yes,no,no,4,4,2,2,2,8,4,5,1,0,0
19,2,4,2,1,1,yes,no,no,yes,no,yes,yes,yes,1,2,5,2,5,4,10,7,1,0,0
21,1,1,3,4,1,no,no,no,no,no,yes,yes,no,5,4,2,4,2,4,6,6,1,0,0
16,1,3,4,4,1,no,no,yes,yes,no,yes,yes,no,4,2,5,4,4,9,7,0,1,0,0
22,3,2,1,2,2,no,no,no,no,yes,yes,yes,no,3,5,2,1,2,12,5,5,1,0,0
16,4,3,2,1,0,yes,no,no,no,yes,yes,yes,no,5,1,3,5,5,6,13,10,1,0,0
15,3,1,1,3,1,no,no,no,yes,yes,yes,yes,yes,2,4,2,4,2,4,9,5,1,0,0
18,1,3,1,1,0,no,yes,no,no,yes,no,yes,no,2,1,3,2,3,3,6,5,1,0,0
17,3,0,1,3,0,yes,yes,yes,yes,yes,no,no,yes,1,3,3,5,3,10,6,5,1,0,0
16,2,3,3,4,1,no,no,no,yes,yes,no,yes,yes,3,5,5,2,3,8,8,11,1,0,0
22,2,1,1,4,0,no,no,yes,no,yes,no,yes,no,4,2,1,3,3,11,7,11,1,0,0
21,3,0,4,2,3,no,yes,no,no,yes,yes,no,no,1,3,4,2,5,2,4,10,1,0,0
22,2,0,3,3,0,no,no,no,no,yes,yes,yes,no,3,2,2,5,1,16,7,9,1,0,0
22,4,0,1,2,1,no,no,yes,no,yes,no,yes,no,2,1,3,3,3,10,8,7,1,0,0
16,3,3,2,2,1,yes,yes,yes,no,no,yes,no,yes,3,3,1,1,3,4,9,8,1,0,0
19,4,3,4,1,0,no,no,yes,yes,no,yes,no,no,4,4,2,1,4,26,10,7,1,0,0
18,1,2,1,3,3,no,no,no,no,no,yes,no,no,4,5,4,3,3,8,9,8,1,0,0
22,1,0,1,3,2,no,no,no,yes,yes,yes,no,no,5,5,5,5,3,9,10,9,1,0,0
21,3,4,1,3,0,yes,no,no,no,no,no,yes,no,5,3,4,1,1,9,13,9,1,0,0
17,4,1,2,1,3,no,no,yes,yes,no,no,yes,no,4,1,2,1,5,7,7,6,1,0,0
16,4,1,2,2,2,yes,no,no,yes,yes,yes,yes,no,5,4,2,1,1,0,8,12,1,0,0
17,2,1,4,1,0,no,yes,yes,yes,yes,yes,yes,yes,2,1,2,1,1,3,10,9,1,0,0
