sex,age,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,Probability
1,18,3,3,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,3,1,8,10,9,0
1,17,4,3,2,2,0,no,no,yes,yes,yes,yes,yes,no,4,4,4,4,4,1,4,10,9,0
1,18,2,2,1,1,2,no,yes,no,yes,yes,yes,yes,no,3,3,3,1,2,1,0,7,4,0
1,18,3,3,1,2,0,no,yes,no,no,yes,yes,yes,no,3,2,4,2,4,1,10,10,10,0
1,17,2,2,2,1,0,no,no,no,yes,yes,no,no,yes,5,5,5,3,5,1,0,8,13,0
1,15,2,2,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,1,2,12,12,0
1,18,2,2,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,5,5,2,4,1,2,9,8,0
1,17,3,3,1,2,0,no,no,no,yes,no,yes,yes,no,4,3,4,1,4,1,4,6,5,0
1,16,4,3,2,1,0,yes,yes,yes,yes,no,yes,yes,no,3,3,3,1,1,1,6,9,11,0
1,16,3,1,2,4,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,1,2,13,11,0
1,17,2,1,2,1,1,no,no,yes,yes,yes,no,yes,yes,3,3,2,2,2,1,8,8,8,0
1,20,2,2,1,2,2,no,yes,yes,no,yes,yes,no,no,5,5,4,4,5,1,11,9,9,0
1,19,1,1,3,1,1,no,yes,no,no,yes,yes,yes,no,4,4,4,3,3,1,4,8,9,0
1,17,2,2,4,1,0,no,yes,no,no,yes,yes,yes,no,4,4,5,5,5,1,8,11,10,0
1,19,3,2,1,1,3,no,yes,no,no,yes,no,yes,yes,4,5,4,1,1,1,0,5,0,0
1,19,1,2,1,2,1,no,no,no,no,no,yes,yes,no,4,5,2,2,2,1,3,13,11,0
1,19,3,3,1,2,0,no,no,no,yes,yes,yes,no,yes,4,5,3,1,2,1,0,10,10,0
