sex,age,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,Probability
1,18,2,1,1,3,0,no,no,yes,yes,yes,yes,yes,no,4,2,4,1,3,0,6,15,14,1
1,17,2,3,2,2,0,no,no,no,yes,yes,yes,yes,no,4,4,3,1,1,0,4,14,15,1
1,18,2,2,1,2,0,no,yes,no,yes,no,no,yes,no,4,4,4,1,3,0,11,9,11,1
1,18,4,4,1,1,0,no,yes,no,no,yes,yes,yes,yes,1,4,2,2,2,0,0,18,18,1
1,15,4,2,1,1,0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,0,10,18,17,1
1,16,2,3,2,1,0,no,no,no,no,yes,yes,yes,no,5,3,3,1,1,0,0,13,12,1
1,15,4,4,2,2,0,no,yes,no,yes,yes,yes,no,no,4,4,3,1,1,0,2,11,13,1
1,18,3,4,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,3,5,1,4,0,9,13,14,1
1,15,4,4,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,0,0,11,12,1
1,17,1,2,1,2,0,no,yes,no,yes,no,yes,no,yes,3,5,2,2,2,0,2,16,17,1
1,16,4,4,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,4,2,4,0,0,13,13,1
1,18,4,4,2,1,0,no,no,no,yes,yes,yes,yes,no,3,2,4,1,4,0,6,11,12,1
1,16,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,2,4,2,4,0,2,14,13,1
1,16,1,0,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,2,1,1,0,2,13,15,1
1,18,1,1,2,1,0,no,no,no,no,no,yes,yes,yes,3,3,2,1,2,0,2,14,13,1
1,18,2,1,1,3,0,no,no,no,yes,yes,yes,yes,no,4,2,4,1,3,0,0,14,15,1
1,16,4,3,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,0,4,19,19,1
1,16,3,2,2,1,1,no,yes,no,yes,no,no,no,no,4,5,2,1,1,0,16,12,11,1
1,15,3,2,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,0,0,16,18,1
1,18,4,4,1,2,0,no,no,no,yes,no,yes,yes,no,3,2,4,1,4,0,4,17,18,1
1,18,3,4,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,5,3,4,0,6,15,16,1
1,16,3,2,2,3,0,no,no,no,yes,yes,yes,yes,yes,5,3,3,1,3,0,0,12,12,1
1,15,3,3,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,0,0,13,12,1
1,15,3,4,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,1,0,0,16,16,1
1,15,4,1,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,4,1,2,0,0,12,13,1
1,18,4,4,1,3,0,no,no,no,yes,yes,yes,yes,no,4,3,3,2,2,0,0,13,14,1
1,16,3,3,3,1,0,no,yes,no,yes,yes,yes,yes,no,3,3,4,3,5,0,16,10,11,1
1,18,3,4,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,2,5,3,4,0,13,17,17,1
1,16,3,3,1,2,0,no,no,yes,yes,yes,yes,yes,yes,4,2,3,1,2,0,2,12,13,1
1,15,3,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,1,1,0,0,16,18,1
1,18,3,2,1,3,0,no,no,no,yes,no,yes,no,no,5,3,2,1,1,0,2,10,11,1
1,15,3,3,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,0,0,8,10,1
1,15,4,2,1,1,0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,0,10,18,19,1
1,17,3,2,1,1,0,no,no,no,no,yes,yes,yes,no,4,4,4,3,4,0,18,13,13,1
1,17,4,3,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,5,2,3,1,1,0,4,11,11,1
1,16,2,2,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,0,0,13,12,1
1,17,3,2,2,2,0,no,yes,yes,no,yes,yes,yes,no,4,1,2,2,2,0,0,13,14,1
1,19,3,3,1,2,1,no,yes,no,yes,yes,yes,yes,yes,4,4,4,1,1,0,20,15,14,1
1,16,1,0,2,2,0,no,yes,no,yes,yes,yes,yes,yes,4,3,2,1,1,0,0,16,17,1
1,18,4,4,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,2,0,0,12,12,1
1,15,4,4,4,4,0,no,yes,yes,yes,yes,yes,yes,yes,1,3,5,3,5,0,6,10,13,1
1,17,1,1,2,3,0,no,no,no,no,no,yes,yes,yes,4,3,3,1,1,0,2,13,14,1
1,16,2,1,2,1,0,no,no,no,yes,no,yes,no,no,3,3,2,1,3,0,2,14,13,1
1,17,2,3,2,1,0,no,no,no,no,yes,yes,yes,no,5,2,2,1,1,0,2,9,12,1
1,18,4,4,3,1,0,no,yes,yes,yes,yes,yes,yes,yes,2,5,5,1,1,0,5,12,13,1
1,16,2,2,3,1,0,no,no,no,no,no,yes,no,no,4,2,2,1,2,0,2,17,15,1
1,18,4,4,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,0,0,17,17,1
1,15,4,4,2,2,0,no,yes,no,yes,yes,yes,no,no,4,4,3,1,1,0,4,16,15,1
1,16,3,3,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,2,3,1,2,0,0,11,12,1
1,17,2,3,1,2,0,no,yes,yes,no,no,yes,yes,no,5,3,3,1,3,0,2,12,11,1
1,17,2,2,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,5,2,1,1,0,0,12,13,1
1,15,4,4,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,0,4,13,13,1
1,17,4,4,1,2,0,no,yes,no,no,yes,yes,yes,yes,5,3,5,4,5,0,15,13,12,1
1,15,4,3,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,0,0,13,14,1
1,18,4,4,1,2,0,no,no,yes,yes,no,yes,yes,no,3,2,4,1,4,0,4,15,14,1
1,16,4,4,1,2,0,no,yes,no,yes,yes,yes,no,yes,4,3,1,1,1,0,0,13,12,1
1,17,1,2,1,2,0,no,yes,yes,yes,no,yes,no,yes,3,5,2,2,2,0,2,15,14,1
