age,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,absences,G1,G2,sex,health,Probability
16,3,2,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,4,12,14,1,1,0
15,4,4,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,2,15,15,1,1,0
17,2,2,2,2,0,no,no,no,yes,yes,yes,yes,no,4,3,3,1,2,10,10,11,1,1,0
16,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,4,1,1,0,17,17,1,1,0
15,3,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,4,16,16,1,1,0
18,2,1,3,1,2,yes,no,no,no,no,no,no,yes,3,2,4,2,3,6,9,8,1,1,0
17,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,1,2,15,15,1,1,0
16,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,4,12,14,1,1,0
15,4,4,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,2,15,15,1,1,0
17,2,2,2,2,0,no,no,no,yes,yes,yes,yes,no,4,3,3,1,2,10,10,11,1,1,0
16,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,4,1,1,0,17,17,1,1,0
15,3,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,4,16,16,1,1,0
18,2,1,3,1,2,yes,no,no,no,no,no,no,yes,3,2,4,2,3,6,9,8,1,1,0
17,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,1,2,15,15,1,1,0
16,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,4,12,14,1,1,0
15,4,4,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,2,15,15,1,1,0
17,2,2,2,2,0,no,no,no,yes,yes,yes,yes,no,4,3,3,1,2,10,10,11,1,1,0
16,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,4,1,1,0,17,17,1,1,0
15,3,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,4,16,16,1,1,0
18,2,1,3,1,2,yes,no,no,no,no,no,no,yes,3,2,4,2,3,6,9,8,1,1,0
17,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,1,2,15,15,1,1,0
16,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,4,12,14,1,1,0
15,4,4,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,2,15,15,1,1,0
17,2,2,2,2,0,no,no,no,yes,yes,yes,yes,no,4,3,3,1,2,10,10,11,1,1,0
16,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,4,1,1,0,17,17,1,1,0
15,3,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,4,16,16,1,1,0
18,2,1,3,1,2,yes,no,no,no,no,no,no,yes,3,2,4,2,3,6,9,8,1,1,0
17,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,1,2,15,15,1,1,0
16,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,4,12,14,1,1,0
15,4,4,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,2,15,15,1,1,0
17,2,2,2,2,0,no,no,no,yes,yes,yes,yes,no,4,3,3,1,2,10,10,11,1,1,0
16,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,4,1,1,0,17,17,1,1,0
15,3,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,4,16,16,1,1,0
18,2,1,3,1,2,yes,no,no,no,no,no,no,yes,3,2,4,2,3,6,9,8,1,1,0
17,4,4,1,2,0,no,yes,yes,yes,yes,,,,,,,,,,,,1,1,0
17,4,3,2,2,0,yes,no,yes,yes,yes,yes,yes,no,4,3,3,1,2,4,15,14,1,1,0
16,2,2,1,1,0,no,yes,no,no,yes,yes,yes,no,5,4,2,1,1,2,12,13,1,1,0
15,3,4,1,3,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,1,10,16,15,1,1,0
18,1,1,2,2,1,yes,no,no,yes,yes,yes,yes,yes,3,2,4,2,3,6,10,9,1,1,0
17,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,1,4,14,14,1,1,0
16,3,3,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,1,6,12,12,1,1,0
15,2,2,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,0,14,14,1,1,0
18,4,4,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,2,16,15,1,1,0
17,3,3,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,1,4,13,13,1,1,0
16,2,2,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,0,11,11,1,1,0
15,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,2,15,15,1,1,0
18,3,3,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,1,4,14,14,1,1,0
17,2,2,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,0,13,13,1,1,0
16,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,2,16,16,1,1,0
15,3,3,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,1,4,14,14,1,1,0
