sex,age,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,Probability
0,17,2,2,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,3,2,2,2,0,3,11,11,0
1,18,3,3,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,3,1,8,10,9,0
1,15,2,2,3,4,0,no,yes,no,yes,yes,yes,no,no,5,4,5,2,3,1,8,13,14,1
1,17,4,3,2,2,0,no,no,yes,yes,yes,yes,yes,no,4,4,4,4,4,1,4,10,9,0
0,19,2,3,1,3,1,no,no,no,yes,no,yes,yes,no,5,4,2,1,2,1,4,10,11,0
1,18,2,2,1,1,2,no,yes,no,yes,yes,yes,yes,no,3,3,3,1,2,1,0,7,4,0
0,17,4,4,2,3,0,no,yes,yes,no,no,yes,yes,yes,4,3,3,1,2,1,4,14,14,1
1,18,3,3,1,2,0,no,yes,no,no,yes,yes,yes,no,3,2,4,2,4,1,10,10,10,0
0,15,2,1,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,1,4,10,12,1
0,17,1,1,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,5,5,1,2,0,2,11,10,0
1,17,4,4,2,1,0,no,no,no,no,yes,yes,yes,no,4,1,1,2,2,1,0,12,13,1
1,15,2,3,1,2,0,yes,no,yes,yes,yes,yes,no,no,4,4,4,1,1,0,0,7,8,0
0,17,1,1,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,0,4,5,5,0
1,15,3,4,1,1,0,yes,no,no,no,yes,yes,yes,no,5,5,5,3,2,1,0,13,13,1
0,17,2,1,3,2,0,no,no,no,yes,yes,yes,no,no,2,1,1,1,1,0,2,13,13,1
1,19,4,2,2,2,0,no,yes,no,yes,yes,yes,yes,yes,5,4,4,1,1,0,9,11,10,0
1,17,2,2,2,1,0,no,no,no,yes,yes,no,no,yes,5,5,5,3,5,1,0,8,13,0
1,16,2,1,3,1,0,no,no,no,no,yes,yes,yes,no,4,3,3,1,1,1,6,18,18,1
0,18,2,3,1,4,0,no,yes,no,yes,yes,yes,yes,yes,4,5,5,1,3,0,10,16,16,1
0,16,2,1,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,0,8,8,9,0
1,15,2,2,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,1,2,12,12,0
1,15,4,4,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,1,2,15,15,1
1,18,2,2,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,5,5,2,4,1,2,9,8,0
0,17,4,3,1,2,0,no,no,no,yes,yes,yes,yes,yes,3,2,3,1,2,0,0,14,12,1
0,15,3,2,1,2,1,no,yes,no,no,yes,yes,yes,no,3,3,2,1,1,0,2,11,11,0
1,16,4,1,1,1,0,no,no,no,no,yes,yes,yes,no,4,1,2,2,1,0,0,10,11,0
0,17,1,1,2,3,0,no,no,no,yes,yes,yes,yes,no,4,3,3,1,3,1,4,15,14,1
0,15,4,4,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,1,1,1,4,13,14,1
1,18,2,1,1,3,0,no,no,yes,yes,yes,yes,yes,no,4,2,4,1,3,0,6,15,14,1
0,17,2,3,2,2,0,no,no,no,yes,yes,yes,yes,yes,4,2,1,1,1,0,2,11,12,1
0,17,4,2,2,3,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,0,0,15,12,1
1,17,3,3,1,2,0,no,no,no,yes,no,yes,yes,no,4,3,4,1,4,1,4,6,5,0
0,17,3,1,1,2,0,no,yes,no,yes,no,yes,yes,no,4,5,4,2,3,0,10,8,9,0
0,19,1,1,2,2,1,no,yes,no,no,yes,yes,yes,yes,1,1,4,4,1,0,12,7,8,0
1,17,2,3,2,2,0,no,no,no,yes,yes,yes,yes,no,4,4,3,1,1,0,4,14,15,1
1,17,1,1,1,2,0,no,no,no,no,no,yes,yes,no,4,3,3,1,2,1,0,12,12,1
1,16,4,3,2,1,0,yes,yes,yes,yes,no,yes,yes,no,3,3,3,1,1,1,6,9,11,0
0,16,1,2,1,1,0,no,no,no,no,yes,no,yes,no,5,3,5,1,2,1,4,12,11,0
0,16,4,4,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,4,1,2,0,4,8,8,0
0,17,3,2,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,0,4,9,10,0
0,18,2,2,2,3,0,no,no,no,no,yes,yes,yes,yes,4,2,1,1,1,1,5,14,14,1
1,16,4,4,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,1,0,16,16,1
0,16,3,2,1,2,0,no,yes,yes,no,yes,yes,yes,no,1,2,2,1,2,0,14,12,13,1
0,18,3,3,1,2,0,no,no,no,yes,yes,yes,yes,no,5,3,4,1,1,1,8,10,11,1
1,16,3,1,2,4,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,1,2,13,11,0
1,15,2,2,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,0,0,8,8,0
1,17,2,1,2,1,1,no,no,yes,yes,yes,no,yes,yes,3,3,2,2,2,1,8,8,8,0
0,16,4,2,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,3,1,1,1,2,16,15,1
1,22,3,1,1,1,3,no,no,no,no,no,no,yes,yes,5,4,5,5,5,0,16,6,8,0
1,15,4,0,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,0,0,12,11,0
1,16,2,1,2,2,0,no,no,no,yes,yes,yes,yes,no,5,2,1,1,1,0,0,8,7,0
0,20,2,1,2,2,0,no,yes,yes,yes,yes,no,yes,yes,1,2,3,1,2,0,8,10,12,1
0,16,3,1,1,2,3,no,yes,yes,no,yes,yes,yes,no,2,3,3,2,2,1,5,7,7,0
0,18,2,2,2,4,0,no,no,no,yes,yes,yes,no,no,4,4,4,1,1,1,0,10,9,0
0,15,4,4,1,2,0,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,0,2,13,12,1
1,20,2,2,1,2,2,no,yes,yes,no,yes,yes,no,no,5,5,4,4,5,1,11,9,9,0
1,16,3,3,3,1,0,no,yes,yes,yes,yes,yes,yes,no,3,3,4,3,5,0,8,9,9,0
0,16,4,2,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,1,2,15,16,1
1,19,1,1,3,1,1,no,yes,no,no,yes,yes,yes,no,4,4,4,3,3,1,4,8,9,0
1,17,2,2,4,1,0,no,yes,no,no,yes,yes,yes,no,4,4,5,5,5,1,8,11,10,0
1,19,3,2,1,1,3,no,yes,no,no,yes,no,yes,yes,4,5,4,1,1,1,0,5,0,0
0,15,4,4,1,2,0,no,yes,no,no,yes,yes,yes,no,3,3,3,1,2,0,2,14,14,1
1,19,1,2,1,2,1,no,no,no,no,no,yes,yes,no,4,5,2,2,2,1,3,13,11,0
0,17,3,1,2,3,0,no,yes,yes,no,yes,no,no,no,4,2,3,2,2,0,5,8,7,0
1,19,3,3,1,2,0,no,no,no,yes,yes,yes,no,yes,4,5,3,1,2,1,0,10,10,0
0,16,3,3,1,1,0,no,no,no,yes,yes,no,yes,yes,4,5,4,1,1,1,0,14,13,1
1,16,4,3,2,1,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,1,1,1,2,11,15,1
0,16,4,4,1,2,0,no,yes,no,no,yes,yes,yes,no,4,5,2,1,2,0,0,11,10,0
0,15,1,1,3,1,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,1,2,1,0,8,0,0
0,16,3,2,1,2,0,no,yes,no,no,yes,yes,yes,no,1,2,2,1,2,0,8,14,15,1
1,15,3,3,2,1,0,no,yes,no,yes,no,yes,yes,no,4,3,3,2,4,0,11,12,10,0
0,19,2,3,2,1,1,no,no,no,no,yes,no,yes,no,2,2,3,3,4,1,16,10,11,0
